T,t
126.77281673942468,1156.0
126.26308855097898,1157.0
126.51795264520183,1158.0
126.26308855097898,1159.0
126.77281673942468,1160.0
126.77281673942468,1161.0
126.77281673942468,1162.0
127.53740902209326,1163.0
127.79227311631611,1164.0
127.2825449278704,1165.0
128.04713721053898,1166.0
127.53740902209326,1167.0
127.2825449278704,1168.0
128.30200130476183,1169.0
127.53740902209326,1170.0
128.55686539898468,1171.0
128.55686539898468,1172.0
128.81172949320754,1173.0
128.81172949320754,1174.0
128.30200130476183,1175.0
128.55686539898468,1176.0
128.55686539898468,1177.0
128.55686539898468,1178.0
129.32145768165324,1179.0
129.32145768165324,1180.0
129.5763217758761,1181.0
129.32145768165324,1182.0
129.32145768165324,1183.0
130.0860499643218,1184.0
130.34091405854466,1185.0
130.34091405854466,1186.0
130.0860499643218,1187.0
130.34091405854466,1188.0
131.10550634121321,1189.0
131.10550634121321,1190.0
131.36037043543607,1191.0
130.85064224699036,1192.0
131.10550634121321,1193.0
131.87009862388177,1194.0
131.36037043543607,1195.0
131.87009862388177,1196.0
132.12496271810463,1197.0
131.36037043543607,1198.0
132.37982681232748,1199.0
132.63469090655033,1200.0
132.37982681232748,1201.0
131.87009862388177,1202.0
132.63469090655033,1203.0
132.8895550007732,1204.0
132.8895550007732,1205.0
132.12496271810463,1206.0
132.63469090655033,1207.0
133.39928318921892,1208.0
133.39928318921892,1209.0
133.65414728344177,1210.0
133.14441909499607,1211.0
133.39928318921892,1212.0
133.90901137766463,1213.0
134.41873956611033,1214.0
133.65414728344177,1215.0
133.90901137766463,1216.0
133.90901137766463,1217.0
134.41873956611033,1218.0
134.92846775455604,1219.0
134.16387547188748,1220.0
134.16387547188748,1221.0
135.1833318487789,1222.0
134.92846775455604,1223.0
134.67360366033319,1224.0
134.92846775455604,1225.0
135.94792413144745,1226.0
135.43819594300174,1227.0
135.94792413144745,1228.0
135.43819594300174,1229.0
135.94792413144745,1230.0
135.6930600372246,1231.0
136.45765231989319,1232.0
136.20278822567033,1233.0
136.45765231989319,1234.0
136.71251641411604,1235.0
136.20278822567033,1236.0
136.20278822567033,1237.0
136.71251641411604,1238.0
136.71251641411604,1239.0
137.22224460256174,1240.0
136.45765231989319,1241.0
136.9673805083389,1242.0
136.71251641411604,1243.0
137.73197279100745,1244.0
137.22224460256174,1245.0
137.9868368852303,1246.0
137.22224460256174,1247.0
137.73197279100745,1248.0
137.73197279100745,1249.0
137.73197279100745,1250.0
138.24170097945316,1251.0
138.496565073676,1252.0
138.75142916789886,1253.0
138.496565073676,1254.0
138.496565073676,1255.0
138.496565073676,1256.0
139.26115735634457,1257.0
139.51602145056745,1258.0
139.00629326212172,1259.0
139.51602145056745,1260.0
139.00629326212172,1261.0
139.26115735634457,1262.0
140.02574963901316,1263.0
139.51602145056745,1264.0
139.7708855447903,1265.0
140.02574963901316,1266.0
140.02574963901316,1267.0
140.02574963901316,1268.0
140.02574963901316,1269.0
140.280613733236,1270.0
140.53547782745886,1271.0
141.30007011012742,1272.0
140.79034192168172,1273.0
140.53547782745886,1274.0
141.55493420435027,1275.0
141.04520601590457,1276.0
141.04520601590457,1277.0
141.80979829857313,1278.0
141.55493420435027,1279.0
141.55493420435027,1280.0
141.55493420435027,1281.0
141.55493420435027,1282.0
141.55493420435027,1283.0
141.80979829857313,1284.0
142.31952648701883,1285.0
142.82925467546457,1286.0
142.5743905812417,1287.0
142.5743905812417,1288.0
142.31952648701883,1289.0
142.06466239279598,1290.0
142.82925467546457,1291.0
142.31952648701883,1292.0
143.08411876968742,1293.0
142.82925467546457,1294.0
143.33898286391027,1295.0
143.33898286391027,1296.0
142.82925467546457,1297.0
143.59384695813313,1298.0
143.33898286391027,1299.0
144.10357514657883,1300.0
143.59384695813313,1301.0
144.10357514657883,1302.0
143.84871105235598,1303.0
144.61330333502454,1304.0
144.10357514657883,1305.0
144.3584392408017,1306.0
144.8681674292474,1307.0
145.12303152347025,1308.0
144.3584392408017,1309.0
144.3584392408017,1310.0
144.3584392408017,1311.0
144.8681674292474,1312.0
145.3778956176931,1313.0
144.8681674292474,1314.0
145.12303152347025,1315.0
145.3778956176931,1316.0
145.88762380613883,1317.0
146.1424879003617,1318.0
145.88762380613883,1319.0
146.39735199458454,1320.0
145.63275971191595,1321.0
145.88762380613883,1322.0
146.39735199458454,1323.0
146.6522160888074,1324.0
146.1424879003617,1325.0
146.39735199458454,1326.0
146.1424879003617,1327.0
146.6522160888074,1328.0
146.39735199458454,1329.0
146.6522160888074,1330.0
147.41680837147595,1331.0
147.41680837147595,1332.0
147.6716724656988,1333.0
147.1619442772531,1334.0
147.92653655992166,1335.0
147.6716724656988,1336.0
147.1619442772531,1337.0
147.41680837147595,1338.0
147.6716724656988,1339.0
147.6716724656988,1340.0
147.6716724656988,1341.0
147.92653655992166,1342.0
148.1814006541445,1343.0
148.69112884259022,1344.0
148.43626474836736,1345.0
148.43626474836736,1346.0
148.1814006541445,1347.0
148.94599293681307,1348.0
149.20085703103595,1349.0
149.20085703103595,1350.0
149.20085703103595,1351.0
148.94599293681307,1352.0
149.20085703103595,1353.0
149.20085703103595,1354.0
149.9654493137045,1355.0
149.9654493137045,1356.0
149.4557211252588,1357.0
149.71058521948166,1358.0
149.9654493137045,1359.0
150.47517750215022,1360.0
149.71058521948166,1361.0
149.9654493137045,1362.0
150.73004159637307,1363.0
150.73004159637307,1364.0
150.73004159637307,1365.0
150.98490569059592,1366.0
150.47517750215022,1367.0
150.73004159637307,1368.0
151.23976978481878,1369.0
150.98490569059592,1370.0
151.49463387904163,1371.0
151.23976978481878,1372.0
150.98490569059592,1373.0
151.23976978481878,1374.0
151.74949797326448,1375.0
152.00436206748734,1376.0
152.00436206748734,1377.0
152.00436206748734,1378.0
152.2592261617102,1379.0
151.74949797326448,1380.0
152.51409025593307,1381.0
152.76895435015592,1382.0
152.00436206748734,1383.0
152.76895435015592,1384.0
153.02381844437878,1385.0
153.02381844437878,1386.0
152.51409025593307,1387.0
