"t","relay","T"
991,0,115.813660687842
992,1,116.068524782065
993,1,116.323388876288
994,0,116.833117064733
995,0,115.813660687842
996,1,116.068524782065
997,1,116.068524782065
998,1,116.833117064733
999,0,115.813660687842
1000,1,116.57825297051
1001,0,116.57825297051
1002,0,116.068524782065
1003,1,116.068524782065
1004,1,115.558796593619
1005,1,115.813660687842
1006,1,116.833117064733
1007,0,116.068524782065
1008,1,116.57825297051
1009,0,115.813660687842
1010,1,116.068524782065
1011,1,115.558796593619
1012,1,116.57825297051
1013,0,115.813660687842
1014,1,116.323388876288
1015,0,115.813660687842
1016,1,116.57825297051
1017,0,116.57825297051
1018,0,116.068524782065
1019,1,116.57825297051
1020,0,116.323388876288
1021,0,115.813660687842
1022,1,116.068524782065
1023,1,116.068524782065
1024,1,116.57825297051
1025,0,115.813660687842
1026,1,116.068524782065
1027,1,116.068524782065
1028,1,117.087981158956
1029,0,116.57825297051
1030,0,116.57825297051
1031,0,116.068524782065
1032,1,116.323388876288
1033,0,116.833117064733
1034,0,116.833117064733
1035,0,116.57825297051
1036,0,116.323388876288
1037,0,115.813660687842
1038,1,116.323388876288
1039,0,116.068524782065
1040,1,116.833117064733
1041,0,116.57825297051
1042,0,116.068524782065
1043,1,116.323388876288
1044,0,116.57825297051
1045,0,116.068524782065
1046,1,116.833117064733
1047,0,116.068524782065
1048,1,116.57825297051
1049,0,116.833117064733
1050,0,116.323388876288
1051,0,116.57825297051
1052,0,116.57825297051
1053,0,116.068524782065
1054,1,116.068524782065
1055,1,116.57825297051
1056,0,115.813660687842
1057,1,116.57825297051
1058,0,115.813660687842
1059,1,115.813660687842
1060,1,115.813660687842
1061,1,116.068524782065
1062,1,116.323388876288
1063,0,115.558796593619
1064,1,116.323388876288
1065,0,116.323388876288
1066,0,116.068524782065
1067,1,116.57825297051
1068,0,116.323388876288
1069,0,115.813660687842
1070,1,115.813660687842
1071,1,116.068524782065
1072,1,115.813660687842
1073,1,116.323388876288
1074,0,116.57825297051
1075,1,116.57825297051
1076,1,116.323388876288
1077,1,116.068524782065
1078,1,116.068524782065
1079,1,116.068524782065
1080,1,116.833117064733
1081,1,116.323388876288
1082,1,116.833117064733
1083,1,116.068524782065
1084,1,116.57825297051
1085,1,117.342845253179
1086,1,116.833117064733
1087,1,116.833117064733
1088,1,116.57825297051
1089,1,117.597709347402
1090,1,116.833117064733
1091,1,117.852573441625
1092,1,117.087981158956
1093,1,117.342845253179
1094,1,117.852573441625
1095,1,117.342845253179
1096,1,118.107437535848
1097,1,117.852573441625
1098,1,118.36230163007
1099,1,118.36230163007
1100,1,118.617165724293
1101,1,118.617165724293
1102,1,118.872029818516
1103,1,118.872029818516
1104,1,118.36230163007
1105,1,119.381758006962
1106,1,118.872029818516
1107,1,118.872029818516
1108,1,118.872029818516
1109,1,119.891486195408
1110,1,119.126893912739
1111,1,119.636622101185
1112,1,119.381758006962
